state,limit,rate
al,fifty,0
al,one_hundred,10
al,two_hundred_fifty,37
al,five_hundred,73
ar,fifty,0
ar,one_hundred,10
ar,two_hundred_fifty,37
ar,five_hundred,73
co,fifty,0
co,one_hundred,10
co,two_hundred_fifty,37
co,five_hundred,73
ga,fifty,0
ga,one_hundred,10
ga,two_hundred_fifty,37
ga,five_hundred,73
id,fifty,0
id,one_hundred,10
id,two_hundred_fifty,37
id,five_hundred,73
il,fifty,0
il,one_hundred,10
il,two_hundred_fifty,37
il,five_hundred,73
in,fifty,0
in,one_hundred,10
in,two_hundred_fifty,37
in,five_hundred,73
ia,fifty,0
ia,one_hundred,10
ia,two_hundred_fifty,37
ia,five_hundred,73
ks,fifty,0
ks,one_hundred,10
ks,two_hundred_fifty,37
ks,five_hundred,73
ky,fifty,0
ky,one_hundred,10
ky,two_hundred_fifty,37
ky,five_hundred,73
mi,fifty,0
mi,one_hundred,10
mi,two_hundred_fifty,37
mi,five_hundred,73
mn,fifty,0
mn,one_hundred,10
mn,two_hundred_fifty,37
mn,five_hundred,73
ms,fifty,0
ms,one_hundred,10
ms,two_hundred_fifty,37
ms,five_hundred,73
mo,fifty,0
mo,one_hundred,10
mo,two_hundred_fifty,37
mo,five_hundred,73
mt,fifty,0
mt,one_hundred,10
mt,two_hundred_fifty,37
mt,five_hundred,73
ne,fifty,0
ne,one_hundred,10
ne,two_hundred_fifty,37
ne,five_hundred,73
nv,fifty,0
nv,one_hundred,10
nv,two_hundred_fifty,37
nv,five_hundred,73
nh,fifty,0
nh,one_hundred,10
nh,two_hundred_fifty,37
nh,five_hundred,73
nj,fifty,0
nj,one_hundred,10
nj,two_hundred_fifty,37
nj,five_hundred,73
ny,fifty,0
ny,one_hundred,10
ny,two_hundred_fifty,37
ny,five_hundred,73
nm,fifty,0
nm,one_hundred,10
nm,two_hundred_fifty,37
nm,five_hundred,73
nc,fifty,0
nc,one_hundred,10
nc,two_hundred_fifty,37
nc,five_hundred,73
nd,fifty,0
nd,one_hundred,10
nd,two_hundred_fifty,37
nd,five_hundred,73
oh,fifty,0
oh,one_hundred,10
oh,two_hundred_fifty,37
oh,five_hundred,73
ok,fifty,0
ok,one_hundred,10
ok,two_hundred_fifty,37
ok,five_hundred,73
or,fifty,0
or,one_hundred,10
or,two_hundred_fifty,37
or,five_hundred,73
pa,fifty,0
pa,one_hundred,10
pa,two_hundred_fifty,37
pa,five_hundred,73
sc,fifty,0
sc,one_hundred,10
sc,two_hundred_fifty,37
sc,five_hundred,73
sd,fifty,0
sd,one_hundred,10
sd,two_hundred_fifty,37
sd,five_hundred,73
tn,fifty,0
tn,one_hundred,10
tn,two_hundred_fifty,37
tn,five_hundred,73
tx,fifty,0
tx,one_hundred,10
tx,two_hundred_fifty,37
tx,five_hundred,73
ut,fifty,0
ut,one_hundred,10
ut,two_hundred_fifty,37
ut,five_hundred,73
va,fifty,0
va,one_hundred,10
va,two_hundred_fifty,37
va,five_hundred,73
wa,fifty,0
wa,one_hundred,10
wa,two_hundred_fifty,37
wa,five_hundred,73
wv,fifty,0
wv,one_hundred,10
wv,two_hundred_fifty,37
wv,five_hundred,73
wi,fifty,0
wi,one_hundred,10
wi,two_hundred_fifty,37
wi,five_hundred,73
wy,fifty,0
wy,one_hundred,10
wy,two_hundred_fifty,37
wy,five_hundred,73
ak,fifty,0
ak,one_hundred,10
ak,two_hundred_fifty,37
ak,five_hundred,73
ca,fifty,0
ca,one_hundred,10
ca,two_hundred_fifty,37
ca,five_hundred,73
fl,fifty,0
fl,one_hundred,10
fl,two_hundred_fifty,37
fl,five_hundred,73
la,fifty,0
la,one_hundred,10
la,two_hundred_fifty,37
la,five_hundred,73
md,fifty,0
md,one_hundred,10
md,two_hundred_fifty,37
md,five_hundred,73
