state,class_description,territory_code_table,rate
al,edp,1,35.41
al,office,1,38.59
al,edp,3,14.95
al,office,3,29.27
ak,edp,1,34.76
ak,office,1,60.54
ar,edp,1,7.87
ar,office,1,15.9
ne,edp,1,14.4
ne,office,1,25.87
ne,edp,2,13.17
ne,office,2,21.86
nv,edp,1,17.06
nv,office,1,51.61
nh,edp,1,16.66
nh,office,1,36.19
or,edp,1,27.33
or,office,1,31.1
or,edp,2,26.34
or,office,2,25.04
ut,edp,1,13.66
ut,office,1,32.22
nc,edp,1,9.69
nc,office,1,11.47
nd,edp,1,9.08
nd,office,1,24.91
wy,edp,1,19.02
wy,office,1,32.99
ms,edp,1,16.34
ms,office,1,26.7
mt,edp,1,18.72
mt,office,1,39.65
sd,edp,1,16.87
sd,office,1,25.44
id,edp,1,10.04
id,office,1,31.36
sc,edp,1,21.05
sc,office,1,21.85
nm,edp,1,15.46
nm,office,1,29.92
wv,edp,1,28.86
wv,office,1,41.39
wa,edp,1,15.18
wa,office,1,22.94
wa,edp,2,15.48
wa,office,2,22.36
ga,edp,2,20.84
ga,office,2,21.16
ga,edp,3,13.14
ga,office,3,18.91
fl,edp,1,57.13
fl,office,1,71.4
fl,edp,2,73.66
fl,office,2,75.69
fl,edp,4,55.82
fl,office,4,43.07
fl,edp,5,70.33
fl,office,5,37.56
fl,edp,6,26.2
fl,office,6,36.32
ia,edp,1,19.52
ia,office,1,23.52
ia,edp,2,14.65
ia,office,2,22.11
tn,edp,1,25.23
tn,office,1,18.2
tn,edp,3,20.4
tn,office,3,24.54
tn,edp,4,18.07
tn,office,4,14.67
tn,edp,5,16.44
tn,office,5,14.9
la,edp,1,49.44
la,office,1,73.02
la,edp,2,48.83
la,office,2,61.05
la,edp,3,20.07
la,office,3,49.33
la,edp,4,23.56
la,office,4,46.3
va,edp,1,9.36
va,office,1,18.54
va,edp,2,10.46
va,office,2,22.88
va,edp,3,9.41
va,office,3,17.08
va,edp,4,8.47
va,office,4,15.03
mo,edp,1,21.55
mo,office,1,26.16
mo,edp,2,49.99
mo,office,2,34.85
mo,edp,3,16.8
mo,office,3,25.41
ks,edp,1,20.04
ks,office,1,25.86
ks,edp,2,12.86
ks,office,2,22.01
in,edp,1,25.31
in,office,1,44.09
in,edp,2,70.59
in,office,2,58.13
in,edp,4,25.85
in,office,4,30.5
in,edp,6,15.82
in,office,6,31.17
ok,edp,1,34.28
ok,office,1,21.96
ok,edp,2,12.65
ok,office,2,17.18
ok,edp,3,14.7
ok,office,3,17.54
wi,edp,1,32.64
wi,office,1,33.38
wi,edp,2,19.07
wi,office,2,25.23
wi,edp,3,12.26
wi,office,3,23.65
ca,edp,1,104.11
ca,office,1,78.46
ca,edp,2,33.02
ca,office,2,38.66
ca,edp,3,81.64
ca,office,3,47.87
ca,edp,4,44.67
ca,office,4,37.85
ca,edp,5,37.46
ca,office,5,25.92
ca,edp,6,46.57
ca,office,6,30.77
ca,edp,7,22.81
ca,office,7,25.99
ca,edp,9,47.39
ca,office,9,35.81
ca,edp,11,42.59
ca,office,11,37.44
ca,edp,12,37.14
ca,office,12,32.86
co,edp,1,14.42
co,office,1,25.17
co,edp,2,15.84
co,office,2,28.01
il,edp,1,27.71
il,office,1,38.95
il,edp,4,36.3
il,office,4,54.39
il,edp,6,21.91
il,office,6,36.81
il,edp,7,17.4
il,office,7,32.41
il,edp,8,9.92
il,office,8,37.23
il,edp,9,12.79
il,office,9,27.82
il,edp,14,13.47
il,office,14,27.42
ky,edp,1,10.67
ky,office,1,26.76
ky,edp,3,11.03
ky,office,3,20.93
md,edp,1,11
md,office,1,23.52
md,edp,2,14.53
md,office,2,23.83
md,edp,3,18.7
md,office,3,30.37
mi,edp,1,45.59
mi,office,1,77.38
mi,edp,3,38.46
mi,office,3,45.26
mi,edp,4,17.55
mi,office,4,34.16
mi,edp,5,26.54
mi,office,5,32.84
mn,edp,1,15.06
mn,office,1,20.36
mn,edp,2,15.3
mn,office,2,32.15
mn,edp,3,10.73
mn,office,3,29.82
nj,edp,1,154.23
nj,office,1,401.53
nj,edp,2,41.84
nj,office,2,152.63
nj,edp,3,61.11
nj,office,3,376.93
nj,edp,4,87.46
nj,office,4,166.61
nj,edp,5,95.99
nj,office,5,228.19
nj,edp,6,58.53
nj,office,6,173.39
nj,edp,7,58.35
nj,office,7,189.13
nj,edp,8,121.36
nj,office,8,244.08
nj,edp,9,57.41
nj,office,9,127.19
nj,edp,11,33.33
nj,office,11,116.58
nj,edp,12,83.95
nj,office,12,183.92
nj,edp,13,64.26
nj,office,13,146.92
nj,edp,15,47.96
nj,office,15,115.22
nj,edp,16,68.02
nj,office,16,186.94
nj,edp,17,54.49
nj,office,17,157.39
ny,edp,1,79.74
ny,office,1,96.59
ny,edp,2,192.08
ny,office,2,215.83
ny,edp,3,150.86
ny,office,3,145.56
ny,edp,4,100.3
ny,office,4,102.9
ny,edp,5,102.41
ny,office,5,96.44
ny,edp,6,100.21
ny,office,6,94.3
ny,edp,7,351.84
ny,office,7,283.5
ny,edp,8,99.39
ny,office,8,119.84
ny,edp,9,167.18
ny,office,9,158.14
ny,edp,10,335.9
ny,office,10,200.34
ny,edp,12,216.52
ny,office,12,151.98
ny,edp,14,110.39
ny,office,14,125.71
ny,edp,16,231.48
ny,office,16,214.22
ny,edp,17,107.82
ny,office,17,105.5
ny,edp,18,144.77
ny,office,18,132.69
ny,edp,20,116.24
ny,office,20,96.24
ny,edp,21,115.48
ny,office,21,104.8
ny,edp,22,150.16
ny,office,22,106.48
ny,edp,23,231.48
ny,office,23,206.86
ny,edp,24,107.82
ny,office,24,95.69
oh,edp,1,22.26
oh,office,1,33.43
oh,edp,2,15.56
oh,office,2,35.98
oh,edp,3,10.53
oh,office,3,25.27
oh,edp,4,15.7
oh,office,4,24.75
oh,edp,5,9.27
oh,office,5,14.93
oh,edp,6,8.8
oh,office,6,20.63
oh,edp,7,10.32
oh,office,7,17.05
oh,edp,8,24.31
oh,office,8,28.18
oh,edp,9,11.28
oh,office,9,19.51
oh,edp,10,8.2
oh,office,10,19.43
pa,edp,1,72.58
pa,office,1,178.61
pa,edp,2,28.2
pa,office,2,47.43
pa,edp,3,19.58
pa,office,3,63.99
pa,edp,4,20.49
pa,office,4,60.3
pa,edp,5,27.67
pa,office,5,43.4
pa,edp,7,51.53
pa,office,7,96.38
pa,edp,9,22.93
pa,office,9,49.1
pa,edp,10,9.56
pa,office,10,33.72
pa,edp,11,16.3
pa,office,11,38.11
pa,edp,12,12.62
pa,office,12,28.28
pa,edp,13,21.48
pa,office,13,38.97
tx,edp,1,25.19
tx,office,1,22.32
tx,edp,2,10.08
tx,office,2,18.12
tx,edp,3,13.9
tx,office,3,26.6
tx,edp,4,18.64
tx,office,4,27.17
tx,edp,5,18.1
tx,office,5,20.87
tx,edp,6,13.9
tx,office,6,25.73
tx,edp,7,17.55
tx,office,7,27.29
tx,edp,8,18.64
tx,office,8,27.22
