state,fire_depart_selection,rate
alabama,fire_dep_yes,0
alaska,fire_dep_yes,0
arizona,fire_dep_yes,0
arkansas,fire_dep_yes,0
california,fire_dep_yes,0
colorado,fire_dep_yes,0
connecticut,fire_dep_yes,0
georgia,fire_dep_yes,0
idaho,fire_dep_yes,0
illinois,fire_dep_yes,0
indiana,fire_dep_yes,0
iowa,fire_dep_yes,0
kansas,fire_dep_yes,0
kentucky,fire_dep_yes,0
michigan,fire_dep_yes,0
minnesota,fire_dep_yes,0
mississippi,fire_dep_yes,0
missouri,fire_dep_yes,0
montana,fire_dep_yes,0
nebraska,fire_dep_yes,0
nevada,fire_dep_yes,0
new_hampshire,fire_dep_yes,0
new_jersey,fire_dep_yes,0
new_mexico,fire_dep_yes,0
new_york,fire_dep_yes,10
north_carolina,fire_dep_yes,0
north_dakota,fire_dep_yes,0
ohio,fire_dep_yes,0
oklahoma,fire_dep_yes,0
oregon,fire_dep_yes,0
pennsylvania,fire_dep_yes,0
south_carolina,fire_dep_yes,0
south_dakota,fire_dep_yes,0
tennessee,fire_dep_yes,0
texas,fire_dep_yes,0
utah,fire_dep_yes,0
virginia,fire_dep_yes,0
washington,fire_dep_yes,0
west_virginia,fire_dep_yes,0
wisconsin,fire_dep_yes,0
wyoming,fire_dep_yes,0
alabama,fire_dep_no,0
alaska,fire_dep_no,0
arizona,fire_dep_no,0
arkansas,fire_dep_no,0
california,fire_dep_no,0
colorado,fire_dep_no,0
connecticut,fire_dep_no,0
georgia,fire_dep_no,0
idaho,fire_dep_no,0
illinois,fire_dep_no,0
indiana,fire_dep_no,0
iowa,fire_dep_no,0
kansas,fire_dep_no,0
kentucky,fire_dep_no,0
michigan,fire_dep_no,0
minnesota,fire_dep_no,0
mississippi,fire_dep_no,0
missouri,fire_dep_no,0
montana,fire_dep_no,0
nebraska,fire_dep_no,0
nevada,fire_dep_no,0
new_hampshire,fire_dep_no,0
new_jersey,fire_dep_no,0
new_mexico,fire_dep_no,0
new_york,fire_dep_no,0
north_carolina,fire_dep_no,0
north_dakota,fire_dep_no,0
ohio,fire_dep_no,0
oklahoma,fire_dep_no,0
oregon,fire_dep_no,0
pennsylvania,fire_dep_no,0
south_carolina,fire_dep_no,0
south_dakota,fire_dep_no,0
tennessee,fire_dep_no,0
texas,fire_dep_no,0
utah,fire_dep_no,0
virginia,fire_dep_no,0
washington,fire_dep_no,0
west_virginia,fire_dep_no,0
wisconsin,fire_dep_no,0
wyoming,fire_dep_no,0
