state,business_personal,rate
alabama,business_prop_yes,0
alaska,business_prop_yes,0
arizona,business_prop_yes,0
arkansas,business_prop_yes,0
california,business_prop_yes,0
colorado,business_prop_yes,0
connecticut,business_prop_yes,0
georgia,business_prop_yes,0
idaho,business_prop_yes,0
illinois,business_prop_yes,0
indiana,business_prop_yes,0
iowa,business_prop_yes,0
kansas,business_prop_yes,0
kentucky,business_prop_yes,0
michigan,business_prop_yes,0
minnesota,business_prop_yes,0
mississippi,business_prop_yes,0
missouri,business_prop_yes,0
montana,business_prop_yes,0
nebraska,business_prop_yes,0
nevada,business_prop_yes,0
new_hampshire,business_prop_yes,0
new_jersey,business_prop_yes,0
new_mexico,business_prop_yes,0
new_york,business_prop_yes,4.161
north_carolina,business_prop_yes,0
north_dakota,business_prop_yes,0
ohio,business_prop_yes,0
oklahoma,business_prop_yes,0
oregon,business_prop_yes,0
pennsylvania,business_prop_yes,0
south_carolina,business_prop_yes,0
south_dakota,business_prop_yes,0
tennessee,business_prop_yes,0
texas,business_prop_yes,0
utah,business_prop_yes,0
virginia,business_prop_yes,0
washington,business_prop_yes,0
west_virginia,business_prop_yes,0
wisconsin,business_prop_yes,0
wyoming,business_prop_yes,0
alabama,business_prop_no,0
alaska,business_prop_no,0
arizona,business_prop_no,0
arkansas,business_prop_no,0
california,business_prop_no,0
colorado,business_prop_no,0
connecticut,business_prop_no,0
georgia,business_prop_no,0
idaho,business_prop_no,0
illinois,business_prop_no,0
indiana,business_prop_no,0
iowa,business_prop_no,0
kansas,business_prop_no,0
kentucky,business_prop_no,0
michigan,business_prop_no,0
minnesota,business_prop_no,0
mississippi,business_prop_no,0
missouri,business_prop_no,0
montana,business_prop_no,0
nebraska,business_prop_no,0
nevada,business_prop_no,0
new_hampshire,business_prop_no,0
new_jersey,business_prop_no,0
new_mexico,business_prop_no,0
new_york,business_prop_no,0
north_carolina,business_prop_no,0
north_dakota,business_prop_no,0
ohio,business_prop_no,0
oklahoma,business_prop_no,0
oregon,business_prop_no,0
pennsylvania,business_prop_no,0
south_carolina,business_prop_no,0
south_dakota,business_prop_no,0
tennessee,business_prop_no,0
texas,business_prop_no,0
utah,business_prop_no,0
virginia,business_prop_no,0
washington,business_prop_no,0
west_virginia,business_prop_no,0
wisconsin,business_prop_no,0
wyoming,business_prop_no,0
