pm_const_type,property_size,const_selectin_pm,description_selection,rate
sprinklered_prop,none,pm_const_frame,none,0.4
sprinklered_prop,none,pm_masonary_joisted,none,0.4
sprinklered_prop,none,pm_non_combust,none,0.55
sprinklered_prop,none,pm_mason_non_combust,none,0.65
sprinklered_prop,none,pm_modified_fire_res,none,0.65
sprinklered_prop,none,pm_fire_resist,none,0.65
large_area,area_sqf_1,pm_const_frame,none,1.25
large_area,area_sqf_1,pm_masonary_joisted,none,1.25
large_area,area_sqf_1,pm_non_combust,none,1.1
large_area,area_sqf_1,pm_mason_non_combust,none,1.1
large_area,area_sqf_1,pm_modified_fire_res,none,1.1
large_area,area_sqf_1,pm_fire_resist,none,1.1
large_area,area_sqf_2,pm_const_frame,none,1.5
large_area,area_sqf_2,pm_masonary_joisted,none,1.5
large_area,area_sqf_2,pm_non_combust,none,1.2
large_area,area_sqf_2,pm_mason_non_combust,none,1.2
large_area,area_sqf_2,pm_modified_fire_res,none,1.2
large_area,area_sqf_2,pm_fire_resist,none,1.2
sub_stand_conditions,none,none,condition_heating,1.2
sub_stand_conditions,none,none,condition_wiring,1.1
sub_stand_conditions,none,none,condition_conversion,1.1
sub_stand_conditions,none,none,condition_phys_condt,1.1
sub_stand_conditions,none,none,condition_houskeeping,1.1
non_sprinklered_prop,none,pm_const_frame,none,1
non_sprinklered_prop,none,pm_masonary_joisted,none,1
non_sprinklered_prop,none,pm_non_combust,none,1
non_sprinklered_prop,none,pm_mason_non_combust,none,1
non_sprinklered_prop,none,pm_modified_fire_res,none,1
non_sprinklered_prop,none,pm_fire_resist,none,1
