state,protection,territory_code,rate
new_york,protected_1,111,0.813
new_york,protected_2,111,0.822
new_york,protected_3,111,0.83
new_york,protected_4,111,0.838
new_york,protected_5,111,0.847
new_york,partially_protected,111,1.15
new_york,unprotected,111,1.45
new_york,protected_1,112,0.813
new_york,protected_2,112,0.822
new_york,protected_3,112,0.83
new_york,protected_4,112,0.838
new_york,protected_5,112,0.847
new_york,partially_protected,112,1.15
new_york,unprotected,112,1.45
new_york,protected_1,113,0.813
new_york,protected_2,113,0.822
new_york,protected_3,113,0.83
new_york,protected_4,113,0.838
new_york,protected_5,113,0.847
new_york,partially_protected,113,1.15
new_york,unprotected,113,1.45
new_york,protected_1,114,0.813
new_york,protected_2,114,0.822
new_york,protected_3,114,0.83
new_york,protected_4,114,0.838
new_york,protected_5,114,0.847
new_york,partially_protected,114,1.15
new_york,unprotected,114,1.45
new_york,protected_1,115,0.813
new_york,protected_2,115,0.822
new_york,protected_3,115,0.83
new_york,protected_4,115,0.838
new_york,protected_5,115,0.847
new_york,partially_protected,115,1.15
new_york,unprotected,115,1.45
new_york,protected_1,116,0.813
new_york,protected_2,116,0.822
new_york,protected_3,116,0.83
new_york,protected_4,116,0.838
new_york,protected_5,116,0.847
new_york,partially_protected,116,1.15
new_york,unprotected,116,1.45
new_york,protected_1,126,0.813
new_york,protected_2,126,0.822
new_york,protected_3,126,0.83
new_york,protected_4,126,0.838
new_york,protected_5,126,0.847
new_york,partially_protected,126,1.15
new_york,unprotected,126,1.45
new_york,protected_1,136,0.813
new_york,protected_2,136,0.822
new_york,protected_3,136,0.83
new_york,protected_4,136,0.838
new_york,protected_5,136,0.847
new_york,partially_protected,136,1.15
new_york,unprotected,136,1.45
new_york,protected_1,141,0.901
new_york,protected_2,141,0.911
new_york,protected_3,141,0.92
new_york,protected_4,141,0.929
new_york,protected_5,141,0.939
new_york,partially_protected,141,1.15
new_york,unprotected,141,1.45
new_york,protected_1,142,0.901
new_york,protected_2,142,0.911
new_york,protected_3,142,0.92
new_york,protected_4,142,0.929
new_york,protected_5,142,0.939
new_york,partially_protected,142,1.15
new_york,unprotected,142,1.45
new_york,protected_1,143,0.901
new_york,protected_2,143,0.911
new_york,protected_3,143,0.92
new_york,protected_4,143,0.929
new_york,protected_5,143,0.939
new_york,partially_protected,143,1.15
new_york,unprotected,143,1.45
new_york,protected_1,144,0.901
new_york,protected_2,144,0.911
new_york,protected_3,144,0.92
new_york,protected_4,144,0.929
new_york,protected_5,144,0.939
new_york,partially_protected,144,1.15
new_york,unprotected,144,1.45
new_york,protected_1,151,0.813
new_york,protected_2,151,0.822
new_york,protected_3,151,0.83
new_york,protected_4,151,0.838
new_york,protected_5,151,0.847
new_york,partially_protected,151,1.15
new_york,unprotected,151,1.45
new_york,protected_1,152,0.813
new_york,protected_2,152,0.822
new_york,protected_3,152,0.83
new_york,protected_4,152,0.838
new_york,protected_5,152,0.847
new_york,partially_protected,152,1.15
new_york,unprotected,152,1.45
new_york,protected_1,153,0.813
new_york,protected_2,153,0.822
new_york,protected_3,153,0.83
new_york,protected_4,153,0.838
new_york,protected_5,153,0.847
new_york,partially_protected,153,1.15
new_york,unprotected,153,1.45
new_york,protected_1,154,0.813
new_york,protected_2,154,0.822
new_york,protected_3,154,0.83
new_york,protected_4,154,0.838
new_york,protected_5,154,0.847
new_york,partially_protected,154,1.15
new_york,unprotected,154,1.45
new_york,protected_1,155,0.813
new_york,protected_2,155,0.822
new_york,protected_3,155,0.83
new_york,protected_4,155,0.838
new_york,protected_5,155,0.847
new_york,partially_protected,155,1.15
new_york,unprotected,155,1.45
new_york,protected_1,156,0.813
new_york,protected_2,156,0.822
new_york,protected_3,156,0.83
new_york,protected_4,156,0.838
new_york,protected_5,156,0.847
new_york,partially_protected,156,1.15
new_york,unprotected,156,1.45
arizona,protected_1,110,0.872
arizona,protected_2,110,0.881
arizona,protected_3,110,0.89
arizona,protected_4,110,0.899
arizona,protected_5,110,0.908
arizona,partially_protected,110,1.15
arizona,unprotected,110,1.45
arizona,protected_1,120,0.872
arizona,protected_2,120,0.881
arizona,protected_3,120,0.89
arizona,protected_4,120,0.899
arizona,protected_5,120,0.908
arizona,partially_protected,120,1.15
arizona,unprotected,120,1.45
arizona,protected_1,130,0.872
arizona,protected_2,130,0.881
arizona,protected_3,130,0.89
arizona,protected_4,130,0.899
arizona,protected_5,130,0.908
arizona,partially_protected,130,1.15
arizona,unprotected,130,1.45
arizona,protected_1,140,0.872
arizona,protected_2,140,0.881
arizona,protected_3,140,0.89
arizona,protected_4,140,0.899
arizona,protected_5,140,0.908
arizona,partially_protected,140,1.15
arizona,unprotected,140,1.45
arizona,protected_1,150,0.872
arizona,protected_2,150,0.881
arizona,protected_3,150,0.89
arizona,protected_4,150,0.899
arizona,protected_5,150,0.908
arizona,partially_protected,150,1.15
arizona,unprotected,150,1.45
alaska,protected_1,110,0.823
alaska,protected_2,110,0.832
alaska,protected_3,110,0.84
alaska,protected_4,110,0.848
alaska,protected_5,110,0.857
alaska,partially_protected,110,1.15
alaska,unprotected,110,1.45
alaska,protected_1,120,0.823
alaska,protected_2,120,0.832
alaska,protected_3,120,0.84
alaska,protected_4,120,0.848
alaska,protected_5,120,0.857
alaska,partially_protected,120,1.15
alaska,unprotected,120,1.45
