state,electricity_utility_selection,rate
iowa,elect_steam_yes,0.35
arkansas,elect_steam_yes,0.35
colorado,elect_steam_yes,0.35
georgia,elect_steam_yes,0.35
illinois,elect_steam_yes,0.35
indiana,elect_steam_yes,0.35
kentucky,elect_steam_yes,0.35
minnesota,elect_steam_yes,0.35
missouri,elect_steam_yes,0.35
montana,elect_steam_yes,0.35
nebraska,elect_steam_yes,0.35
north_dakota,elect_steam_yes,0.35
ohio,elect_steam_yes,0.35
pennsylvania,elect_steam_yes,0.35
south_dakota,elect_steam_yes,0.35
texas,elect_steam_yes,0.35
washington,elect_steam_yes,0.35
wyoming,elect_steam_yes,0.35
new_mexico,elect_steam_yes,0.35
idaho,elect_steam_yes,0.35
oklahoma,elect_steam_yes,0.35
south_carolina,elect_steam_yes,0.35
north_carolina,elect_steam_yes,0.35
michigan,elect_steam_yes,0.35
tennessee,elect_steam_yes,0.35
mississippi,elect_steam_yes,0.375
utah,elect_steam_yes,0.35
wisconsin,elect_steam_yes,0.35
nevada,elect_steam_yes,0.35
kansas,elect_steam_yes,0.35
new_york,elect_steam_yes,0.35
alabama,elect_steam_yes,0.35
new_jersey,elect_steam_yes,0.4
oregon,elect_steam_yes,0.35
west_virginia,elect_steam_yes,0.35
new_hampshire,elect_steam_yes,0.35
california,elect_steam_yes,0.4125
connecticut,elect_steam_yes,0.3125
arizona,elect_steam_yes,0.35
alaska,elect_steam_yes,0.35
iowa,elect_steam_no,0
arkansas,elect_steam_no,0
colorado,elect_steam_no,0
georgia,elect_steam_no,0
illinois,elect_steam_no,0
indiana,elect_steam_no,0
kentucky,elect_steam_no,0
minnesota,elect_steam_no,0
missouri,elect_steam_no,0
montana,elect_steam_no,0
nebraska,elect_steam_no,0
north_dakota,elect_steam_no,0
ohio,elect_steam_no,0
pennsylvania,elect_steam_no,0
south_dakota,elect_steam_no,0
texas,elect_steam_no,0
washington,elect_steam_no,0
wyoming,elect_steam_no,0
new_mexico,elect_steam_no,0
idaho,elect_steam_no,0
oklahoma,elect_steam_no,0
south_carolina,elect_steam_no,0
north_carolina,elect_steam_no,0
michigan,elect_steam_no,0
tennessee,elect_steam_no,0
mississippi,elect_steam_no,0
utah,elect_steam_no,0
wisconsin,elect_steam_no,0
nevada,elect_steam_no,0
kansas,elect_steam_no,0
new_york,elect_steam_no,0
alabama,elect_steam_no,0
new_jersey,elect_steam_no,0
oregon,elect_steam_no,0
west_virginia,elect_steam_no,0
new_hampshire,elect_steam_no,0
california,elect_steam_no,0
connecticut,elect_steam_no,0
arizona,elect_steam_no,0
alaska,elect_steam_no,0
