state,overhead_utility_selection,rate
iowa,overhead_yes,0.3125
arkansas,overhead_yes,0.3125
colorado,overhead_yes,0.3125
georgia,overhead_yes,0.3125
illinois,overhead_yes,0.3125
indiana,overhead_yes,0.325
kentucky,overhead_yes,0.3125
minnesota,overhead_yes,0.325
missouri,overhead_yes,0.325
montana,overhead_yes,0.325
nebraska,overhead_yes,0.325
north_dakota,overhead_yes,0.325
ohio,overhead_yes,0.325
pennsylvania,overhead_yes,0.3125
south_dakota,overhead_yes,0.325
texas,overhead_yes,0.325
washington,overhead_yes,0.325
wyoming,overhead_yes,0.3125
new_mexico,overhead_yes,0.3125
idaho,overhead_yes,0.3125
oklahoma,overhead_yes,0.3125
south_carolina,overhead_yes,0.3125
north_carolina,overhead_yes,0.325
michigan,overhead_yes,0.325
tennessee,overhead_yes,0.325
mississippi,overhead_yes,0.3375
utah,overhead_yes,0.3125
wisconsin,overhead_yes,0.325
nevada,overhead_yes,0.3125
kansas,overhead_yes,0.325
new_york,overhead_yes,0.325
alabama,overhead_yes,0.325
new_jersey,overhead_yes,0.3625
oregon,overhead_yes,0.325
west_virginia,overhead_yes,0.325
new_hampshire,overhead_yes,0.3125
california,overhead_yes,0.4125
connecticut,overhead_yes,0.35
arizona,overhead_yes,0.35
alaska,overhead_yes,0.35
iowa,overhead_no,0
arkansas,overhead_no,0
colorado,overhead_no,0
georgia,overhead_no,0
illinois,overhead_no,0
indiana,overhead_no,0
kentucky,overhead_no,0
minnesota,overhead_no,0
missouri,overhead_no,0
montana,overhead_no,0
nebraska,overhead_no,0
north_dakota,overhead_no,0
ohio,overhead_no,0
pennsylvania,overhead_no,0
south_dakota,overhead_no,0
texas,overhead_no,0
washington,overhead_no,0
wyoming,overhead_no,0
new_mexico,overhead_no,0
idaho,overhead_no,0
oklahoma,overhead_no,0
south_carolina,overhead_no,0
north_carolina,overhead_no,0
michigan,overhead_no,0
tennessee,overhead_no,0
mississippi,overhead_no,0
utah,overhead_no,0
wisconsin,overhead_no,0
nevada,overhead_no,0
kansas,overhead_no,0
new_york,overhead_no,0
alabama,overhead_no,0
new_jersey,overhead_no,0
oregon,overhead_no,0
west_virginia,overhead_no,0
new_hampshire,overhead_no,0
california,overhead_no,0
connecticut,overhead_no,0
arizona,overhead_no,0
alaska,overhead_no,0
